readValuesFunction-Initialization, 414e8ca3006997eb, N/A, 7778b5372bf763d3, 1496422941.864, 1496422942.46
readValuesFunction-DynamoDB, 31780d262dfcfb64, ValuesTable, 7778b5372bf763d3, 1496422942.588, 1496422944.708, 325, NANO-USD, 145941, B, 3597880, MS, 1941, B, 880, MS, CapacityUnits, 3, RCU, PayloadSize, 54059, B, Latency, 2120, MS
readValuesFunction, 66b6c841def90f3d, N/A, , 1496422938.29, 1496422944.805
DynamoDB, 3c7d2be5000825df, ValuesTable, 31780d262dfcfb64, 1496422942.588, 1496422944.708
readValuesFunction, 7778b5372bf763d3, readValuesFunction, 66b6c841def90f3d, 1496422942.468, 1496422944.77, 4992, NANO-USD, 0, B, 0, MS, 84, MB, 90, MS, Duration, 2310, MS, BilledDuration, 2400, MS, MemorySize, 128, MB, MaxMemoryUsed, 44, MB
name, id, resource, parent_id, start, end, MC-val, MC-unit, PAW-val, PAW-unit, PTW-val, PTW-unit, MAW-val, MAW-unit, MTW-val, MTW-unit, c_1_name, c_1_val, c_1_type, c_2_name, c_2_val, c_2_type, c_3_name, c_3_val, c_3_type, c_4_name, c_4_val, c_4_type

Trace_Id, 1-59319a1a-c0c2f4e79b3171b2c7a1bd6b, Trace_Latency [ms], 6.515000104904175

